Label,Content,,,,,,,,,,,,
spam,Hi Guys! check this awesome EDM &amp; House mix :) thanks a lot..  https://soundcloud.com/soundhase/edm-house-mix-2﻿,,,,,,,,,,,,
spam,Hiya😊 I just started YouTube and it would mean a lot if some of you could  subscribe and watch my first video?xx﻿,,,,,,,,,,,,
spam,Watch Maroon 5's latest 2nd single from V (It Was Always You) www.youtube. com/watch?v=TQ046FuAu00﻿,,,,,,,,,,,,
spam,Help Please!!  http://www.gofundme.com/RJanimalcare﻿,,,,,,,,,,,,
spam,http://www.mediafire.com/download/yvovhafsv5qzzqo/Video.rar    download and  make money today ﻿,,,,,,,,,,,,
spam,http://www.ebay.com/itm/131275322914?ssPageName=STRK:MESELX:IT&amp;_trksid=p3984.m1555.l2649 ﻿,,,,,,,,,,,,
spam,"&lt;script&gt;document.write('&lt;a target=""_self"" href="" http://rover.ebay.com/rover/1/710-53481-19255-0/1?icep_ff3=1&amp;pub=5575096797&amp;toolid=10001&amp;campid=5337555197&amp;customid=bogdan+grigore&amp;ipn=psmain&amp;icep_vectorid=229508&amp;kwid=902099&amp;mtid=824&amp;kw=lg""&gt;check  this out new arive on ebay&lt;/a&gt;&lt;img  style=""text-decoration:none;border:0;padding:0;margin:0;"" src="" http://rover.ebay.com/roverimp/1/710-53481-19255-0/1?ff3=1&amp;pub=5575096797&amp;toolid=10001&amp;campid=5337555197&amp;customid=bogdan+grigore&amp;mpt='+Math.floor(Math.random()*999999999)+'""&gt;');&lt;/script&gt;&lt;noscript&gt;&lt;a  target=""_self"" href="" http://rover.ebay.com/rover/1/710-53481-19255-0/1?icep_ff3=1&amp;pub=5575096797&amp;toolid=10001&amp;campid=5337555197&amp;customid=bogdan+grigore&amp;ipn=psmain&amp;icep_vectorid=229508&amp;kwid=902099&amp;mtid=824&amp;kw=lg""&gt;check  this out new arive on ebay&lt;/a&gt;&lt;img  style=""text-decoration:none;border:0;padding:0;margin:0;"" src="" http://rover.ebay.com/roverimp/1/710-53481-19255-0/1?ff3=1&amp;pub=5575096797&amp;toolid=10001&amp;campid=5337555197&amp;customid=bogdan+grigore&amp;mpt=[CACHEBUSTER] ""&gt;&lt;/noscript&gt;﻿",,,,,,,,,,,,
spam,I #votekatyperry for the 2014 MTV #VMA Best Lyric Video! See who's in the  lead and vote:  http://on.mtv.com/Ut15kX﻿,,,,,,,,,,,,
spam,https://www.facebook.com/pages/%D8%AA%D8%AD%D9%85%D9%8A%D9%84-%D8%A7%D8%AC%D9%85%D9%84-%D8%A7%D9%84%D8%A7%D9%85%D9%88%D8%B3%D9%8A%D9%82%D9%89___-music/674732645945877 ﻿,,,,,,,,,,,,
spam,Hello! I'm Marian, I'm a singer from Venezuela! I was part of a boy-girl band named cubik, and I'm now singing on my own  'cause I wanted to play my own pop and pop-rock songs.  It would mean a lot if you could have a look at my channel to check my  music and watch my new video!! and if u like, subscribe to it! XOXO THANKS!!  PS: if you like a lot my channel, you can share it with your friends!!  Haha!! LOL MARIAN﻿,,,,,,,,
ham,katy perry does remind me of a tiger,like as if its her spirit animal :3 &lt;3﻿,,,,,,,,,,,
ham,In what South American jungle or any jungle for that matter do you find an  African elephant and a bengal tiger in the same place. Who made this video.﻿,,,,,,,,,,,,
spam,http://9gag.com/gag/aAVpwj9/ =)﻿,,,,,,,,,,,,
spam,ima rapper trying to get notice please check out my mixtape   datpiff.com/mixtapes-detail.php?id=633807﻿,,,,,,,,,,,,
ham,Its a good song and i like her video clip, because its a bout a girl that  her airplane crashed on a land far far away... and she found the way to  survive! And i love the pet tiget too( Kitty Purpy) lol :D﻿,,,,,,,,,,,
spam,help me click on the subscribe Mai Nguyen, thank you﻿,,,,,,,,,,,
spam,even without make up she is still  hot     http://uk.eonline.com/eol_images/Entire_Site/2012430/reg_1024.katy.mkup.mh.053012.jpg ﻿,,,,,,,,,,,,
ham,Thanks to this video we know that Nokia phones can survive a plane crash.﻿,,,,,,,,,,,,
spam,http://www.bubblews.com/news/6401116-vps-solutions﻿,,,,,,,,,,,,
spam,The TREU DETECTIVE alternate ending! __ http://www.funnyordie.com/videos/d15fb87973/true-defectives﻿,,,,,,,,,,,,
spam,The new Makeup Transformation with Integrated Look-A-Like Feature now  available in Ver 1.13! Do you know who you look like? Install or update  your version of Makeup Transformation  https://play.google.com/store/apps/details?id=com.yourelink.makeuptransformation  or visit Google Play.﻿,,,,,,,,,,,,
ham,She named the tiger Kitty Purry  No, seriously, she did, check the video ﻿,,,,,,,,,
ham,Perfect! &lt;3﻿,,,,,,,,,,,,
ham,And after the video ends, a 13 ft. boa constrictor squeezes her to death.﻿,,,,,,,,,,,
ham,should not have paused the music, this is a clip, not a movie.﻿,,,,,,,,,,
spam,  HI!:D!:) We’ re TWIN MELODY ,17 year old twins :) WE DID SOME COVERS!!WE DID A COVER OF BIRTHDAY BY KATY PERRY!!  PLEASE JUST TAKE 1 SECOND AND WATCH IT!! THANKS,MERCI,GRACIAS,DANKE,OBRIGADO,GRAZIE ….    !!!  &lt;3  XX HAVE A NICE DAY!!:D﻿,,,,,,
spam,Nicee!!sabrosura viva https://soundcloud.com/yerki-elinmigrante/yerki-myb-move-your-body﻿,,,,,,,,,,,,
spam,"Hey guys go to check my video name ""growtopia my story""﻿",,,,,,,,,,,,
spam,http://shhort.com/a?r=HuPwEH5ab﻿,,,,,,,,,,,,
spam,YAY IM THE 11TH COMMENTER!!!!!                                    IF YOUR  CRAZY PLEASE DONATE BITCOINS TO ME AT: 1FHeNqx1twqM153v2PTAyieJNEALAhZvEM﻿,,,,,,,,,,,,
spam,http://shhort.com/a?r=G8iX5cTKd﻿,,,,,,,,,,,,
ham,I love this song," it´s for empowering every woman :)  ""you´re gonna hear me roar"" ;)﻿",,,,,,,,,,,
ham,This song makes me want to drink bleach﻿,,,,,,,,,,,,
ham,If she really did this there she's hardcore﻿,,,,,,,,,,,,
spam,http://shhort.com/a?r=Jt2ufxHxc﻿,,,,,,,,,,,,
spam,Follow me watch my videos :) Follow me watch my videos :) Follow me watch  my videos :) Follow me watch my videos :) Follow me watch my videos :)  Follow me watch my videos :) Follow me watch my videos :)﻿,,,,,,,,,,,,
ham,I'm sorry Katy Perry, I was being weird. I still love you &lt;3﻿,,,,,,,,,,,
ham,I'm not a big fan of the song but this video is awesome!﻿,,,,,,,,,,,,
ham,katy perry  just stop it and dont do a song i dont like it﻿,,,,,,,,,,,,
spam, GO TO MY CHANNEL and check out my written songs﻿,,,,,,,,,,,,
spam,Like Gorlin-Goltz Syndrome Support Community, you are not alone. https://www.facebook.com/GorlinGoltzSupport﻿,,,,,,,,,,,
spam,Subscribe and u are gonna hear me roar ;)﻿,,,,,,,,,,,,
ham,In my opinion I think you look better with black hair then blond hair : )﻿,,,,,,,,,,,,
ham,I loved, she is amazing.. OMG your eyes*_*﻿,,,,,,,,,,,
spam,Please help me give my son a grave.  http://www.gofundme.com/BishopsGraveMarker Or please just share it on your  fb page, I do not have one anymore.﻿,,,,,,,,,,,
ham,You gonna hear me ROARRRR.....﻿,,,,,,,,,,,,
spam,follow me---&gt; https://twitter.com/f0llowshoutouts ﻿,,,,,,,,,,,,
ham,I WILL FINISH THIS DISSERTATION! And I will laugh in its face when I  finish! Roaaarrr =3﻿,,,,,,,,,,,,
ham,She's an old Whore!﻿,,,,,,,,,,,,
spam,Please share and help to my Friend! http://www.gofundme.com/jormis  Thank  you very much!﻿,,,,,,,,,,,,
ham,ROAAAAARRRRRR 🐯🐯🐯﻿,,,,,,,,,,,,
ham,This looks so fun and it's a good song﻿,,,,,,,,,,,,
spam,Check out our vids, our songs are awesome! And that I guarantee :)﻿,,,,,,,,,,,
ham,I love You Katy ♥﻿,,,,,,,,,,,,
ham,I    loved        it           so       much          because         you          get         to         stand            fear .﻿,,,,,,,,,,,,
spam,Click For iTunes code http://shhort.com/a?r=0LaviqU2b﻿,,,,,,,,,,,,
spam,Katy perry is and inspirational singer her voice is awesome and I loved her  so much . She achieved music history and I couldn't believe that . Guys if  you could take 1min to go to my channel and watch my first video I would be  greatly thankful for this :) ty guys N katy is still awesome xoxo﻿,,,,,,,,,,,,
spam,Hi guys i sell Jack Daniel's Hard Back Cover Case for iPhone 5 5S 5C 4S 4   6'' Old Time with only 3 Dollars on Ebay:  http://www.ebay.com/itm/251638183951?ssPageName=STRK:MESELX:IT&amp;_trksid=p3984.m1555.l2649 ﻿,,,,,,,,,,,,
spam,https://m.facebook.com/story.php?story_fbid=764484966942313&amp;id=754989901225153&amp;ref=stream  gf﻿,,,,,,,,,,,,
spam,subscribe to me﻿,,,,,,,,,,,,
ham,3:46 so cute!﻿,,,,,,,,,,,,
ham,i think they were drunk when they shot the first half of the video and then the sec on half comes in, and her boobs are magically bigger and  she's more beautiful suddenly, and the dude practically vanishes ﻿,,,,,,,,,,
ham,Roar is without a doubt your best song...feel good song with a message for  everyone. Good job Katy﻿,,,,,,,,,,,,
ham,The great mother of the jungle. Sweet and natural. I like her videos.﻿,,,,,,,,,,,,
spam,http://www.aaas.org/tech-i/vote#view/25874/2177367 VOTE SHELDON PLEASE  GUYS. GIVE IT 5 STARS. THANKS IN ADVANCE﻿,,,,,,,,,,,,
ham,Katy has conqueror's haki &gt;:)﻿,,,,,,,,,,,,
spam,Can you check my videos please? Don't hate me :( Give me one oportunity﻿,,,,,,,,,,,,
spam,WOW VERY NICE CONGRASULATION I LIVE SO MUCH http://en.prothom-alo.com/sport/news/53331/Zimbabwe-A-team-due-in-Dhaka-Wednesday ﻿,,,,,,,,,,,,
ham,There is 7 bilion poeple on earth Now stop being dumb﻿,,,,,,,,,,,,
ham,I love this shit but I disliked it because it's sucks﻿,,,,,,,,,,,,
spam,hey guys i really want to go to a katy perry concert so im in this contest  where i need a lot of likes and im loosing :( so please if you could like  this picture it would be very nice, thank you i really want to go to her  concert :) https://www.facebook.com/exagdl/photos/a.936868579660284.1073741943.111719098841907/937732262907249/?type=1&amp;theater ﻿,,,,,,,,,,,
ham,this video is very inaccurate, a tiger would rip her face of﻿,,,,,,,,,,,
spam,Great video by a great artist in Katy Perry! Admire her creativity! Check  out our channel for no nonsense mobile tech reviews and comparisons as well  as an iPhone 6 and 6 Plus review and comparison!﻿,,,,,,,,,,,,
ham,Are those real animals﻿,,,,,,,,,,,,
spam,Hey guys!  Can you please SUBSCRIBE to my channel,because I'm gonna filming a video so  hope you guys like it and thank you so much for you're support! Xoxo,Leah!  &lt;3 ﻿,,,,,,,,,,
ham,Maybe the best music video in the last 15 years? This is how pop music is  done folks!﻿,,,,,,,,,,,,
ham,I love KATY PERRY &lt;3 &lt;3﻿,,,,,,,,,,,,
ham,Boooobs﻿,,,,,,,,,,,,
ham,I really don't understand how this has 600 million views lol. I'm not  hating or anything, it's just confusing. ﻿,,,,,,,,,,,
ham,Its almost Katys birthday! October 25th Lets say happy birthday to katy!!! ♥♥♥♥♥♥﻿,,,,,,,,,,,,
ham,Katy Perry You Are Looking Soo PRETTY DAMN CUTE :-* :-*﻿,,,,,,,,,,,,
ham,great song you go katy!﻿,,,,,,,,,,,,
ham,looooooooooooooooooooovvvvvvvvveeeeeeeeeeee ittttttttttttt﻿,,,,,,,,,,,,
ham,My telephone!﻿,,,,,,,,,,,,
ham,This comment will randomly get lot's of likes and replies for no reason. I  also like Jello. Strawberry jello.﻿,,,,,,,,,,,,
spam,Hey guys! I've made a amazing Smiley T-Shirt.Of all the things you wear,  your expression is the most important and remember all the statistics in  the world can’t measure the warmth of a smile. If you're a big fan of  T-Shirts and want to gets more happiness, it's perfect for you.  Check this  out and buy it at www.teespring.com/smiley12 =)) thanks you guys so  much!!! ﻿,,,,,,,,,,
ham,really want this video to get 1 billion views, would be amazing!﻿,,,,,,,,,,,
spam,Katy has the voice of gold. this video really brings the lyrics to life. I  am a rapper with 25000 subscribers.. thumbs up if you hate when you take a  shit and the water splashes your nuts﻿,,,,,,,,,,,,
ham,I started hating Katy Perry after finding out that she stole all of the  ideas on her videos  from an old comic book. Yet, her music is catchy. ﻿,,,,,,,,,,,
ham,How can this song have 629 million views while there are only 7 million  people in the world?﻿,,,,,,,,,,,,
ham,Katy Perry is garbage. Rihanna is the best singer in the world. ﻿,,,,,,,,,,,,
spam,https://www.reverbnation.com/slicknick313/songs﻿,,,,,,,,,,,,
ham,Katy Perry is part of me Katy Perry is my firework Katy Perry, I love you﻿,,,,,,,,,,,
ham,This Song Was Good Until It Got Overplayed The Hell Out Of On Radio﻿,,,,,,,,,,,,
ham,see it all, human folly right?﻿,,,,,,,,,,,
ham,Great.This is a song﻿,,,,,,,,,,,,
ham,Awesum song!! Jus luv it!﻿,,,,,,,,,,,,
spam,Watch my videos xx﻿,,,,,,,,,,,,
spam,Please check out my acoustic cover channel :) thanks ﻿,,,,,,,,,,,,
ham,Imagine this in the news crazy woman found acting like a tiger and bit jims  ear off﻿,,,,,,,,,,,,
ham,selfie alert﻿,,,,,,,,,,,,
ham,Your going to hear me Roar !!!! :-))))   #soundsofsunday ﻿,,,,,,,,,,,,
ham,It is a shit﻿,,,,,,,,,,,,
spam,She loves Vena. trojmiasto.pl/Vena-Bus-Taxi-o59253.html﻿,,,,,,,,,,,,
spam,THIS IS A COMPETITION TO MEET MY IDOLS, IT WOULD MEAN SO MUCH IF YOU GUYS  WILL LIKE THIS PIC ON IG! http://instagram.com/p/smZdivopxb/﻿,,,,,,,,,,,
spam,Katty perry please say in one of your new videoes that they follow the  Girls Girls please﻿,,,,,,,,,,,,
ham,i am a big fan of you and i love you﻿,,,,,,,,,,,,
spam,https://viralangels.com/user/d4aaacwk﻿,,,,,,,,,,,,
ham,I &lt;3 Katy Perry!﻿,,,,,,,,,,,,
ham,Since she is a feminist champion, why would she want to reinforce the  stereotype of girls being girly by painting the nails of an elephant that  probably wouldn't even appreciate it?﻿,,,,,,,,,,,
spam,http://thepiratebay.se/torrent/10626835/The.Expendables.3.2014.DVDSCR.Xvid-DiNGO ﻿,,,,,,,,,,,,
spam,http://thepiratebay.se/torrent/10626048/The.Expendables.3.2014.DVDScr.LEAKED.CLEAN.XviD.MP3-RARBG ﻿,,,,,,,,,,,,
spam,If interested in making extra money by internet use the next link www.swagbucks.com/refer/Nonturtle02﻿,,,,,,,,,,,,
ham,This is fucking shit. From the first notes, that becomes clear. Complete  and utter shit. May God come and cleanse the earth of the complete and  utter idiocy which is humankind.﻿,,,,,,,,,,,
spam,Hey guys plz check out my youtube channel to c funny 2 girls 1 cup reaction  thanks and plz subscribe! Thanks﻿,,,,,,,,,,,,
spam,Please subscribe every sub gets a shout out tell me what type of videos u  want and I will try make it happen﻿,,,,,,,,,,,,
spam,Hey guys subscribe to my channel for no reason! Please!..﻿,,,,,,,,,,,,
spam,Katycat! https://m.facebook.com/profile.php?id=1461302180794905﻿,,,,,,,,,,,,
ham,At least she didn't get rid of her completely useless makeup.﻿,,,,,,,,,,,,
ham,I love roar and Katy Perry. She is my favorite singer and sometimes I just  mute the volume and look at her!﻿,,,,,,,,,,,,
ham,This is the best of the best video in world!!!!!!!!!!!!!!!!!!!!!!!!!!!!!﻿,,,,,,,,,,,,
ham,She's got it all. Incredible voice, extremely hot, nice tits﻿,,,,,,,,,,
spam,--&gt;ATTENTION KATYCATS! Katy leads with 7 noms at this year MTV EMA! do vote daily for her: tv.  mtvema. com/vote (delete spaces) thumbs up and share on fb﻿,,,,,,,,,,,,
ham,I really like this song.﻿,,,,,,,,,,,,
ham,my son love so much﻿,,,,,,,,,,,,
ham,Y LOVE YOU﻿,,,,,,,,,,,,
spam,follow me on instagram bigboss286﻿,,,,,,,,,,,,
ham,why the elephant have a broken horn﻿,,,,,,,,,,,,
spam,Free itunes $25 giftcard codes: http://shhort.com/a?r=OOCnjqU2b﻿,,,,,,,,,,,,
ham,Where did she find all that make up in a freakin jungle?!﻿,,,,,,,,,,,,
ham,so cute that monkey *-*! ﻿,,,,,,,,,,,,
ham,Nice song﻿,,,,,,,,,,,,
spam,subscribe please ﻿,,,,,,,,,,,,
ham,You are all sheep, period. This is terrible music.﻿,,,,,,,,,,,
spam,A  friend of mine has invented a big dick formula. He had a small dick (4  inches) and he did some research about this topic. During the research, he  found out the secret knowledge of penis enlargement. He applied what he  had learned and now he has a 7 inch dick. He was absolutely amazed by his  results. Of course, it took a few months. Therefore, he has written a book  about this issue in order to help guys. He asked me to promote his book :)  So, guys if you are interested and for more info check this out  https://payhip.com/b/oTIb  . He is selling it for symbolic £1. Thank you ;)﻿,,,,,,,,
ham,In the beginning she was scared off everything and next thing you know she  is out in a leopard bikini!﻿,,,,,,,,,,,,
spam,Please look at my channel﻿,,,,,,,,,,,,
spam,My three bigger secrets are: I don't think I'm good enough for me skinny  size. I'm bisexual and I sweat really freaking bad when I'm nervous. -  check out Secret by Austin Mahone's NEW Single!﻿,,,,,,,,,,,,
spam,https://www.facebook.com/pages/Nailey-nicool/629410220489046?ref=hl like  mee﻿,,,,,,,,,,,,
spam,katy is beautiful. and this song is catchy. I'm a rapper with 25000  subscribers.. thumbs up if you hate when you take a shit and the water  splashes your balls﻿,,,,,,,,,,,,
ham,I love her green eyes﻿,,,,,,,,,,,,
ham,How old is Katy perry?﻿,,,,,,,,,,,,
ham,most popular video on youtube  ﻿,,,,,,,,,,,,
ham,NOKIA spotted﻿,,,,,,,,,,,,
ham,I hear this all the time on radio and its really irritating. That being  said, i like the video﻿,,,,,,,,,,,
spam,Hi everyone! My dream is to have passionate sex with Katy Perry. Some people do not believe in me…but maybe you will. Sex is a giant part of my life and it pushes me to be a better person! Please give me a chance by giving me a thumbs up! If you love my ambition please SUBSCRIBE!﻿,,,,,,,,,,,,
ham,Fantastic!!!﻿,,,,,,,,,,,,
spam,j aiiima plzzz  https://www.facebook.com/pages/%C3%89c%C3%B8l%CE%B5-al-ma%CE%B7b%CE%B5t/302703146601369 ﻿,,,,,,,,,,,,
spam,https://vimeo.com/107297364﻿,,,,,,,,,,,,
ham,She's awesome XD﻿,,,,,,,,,,,,
ham,Katy perry songs aren't that bad ﻿,,,,,,,,,,,,
spam,hi beaties! i made a new channel please go check it out and subscribe and  enjoy!﻿,,,,,,,,,,,,
spam,https://www.facebook.com/pages/Hiphop-Express/704682339621282                 like this page yo﻿,,,,,,,,,,,,
spam,Our Beautiful Bella has been diagnosed with Wobbler's Syndrome. There is no  way we could afford to do her MRI or surgery. She is not just a dog she is  a very special member of our family. Without the surgery we fear we will  lose her. Please help!  http://www.gofundme.com/f7ekgw﻿,,,,,,,,,,,,
spam,https://www.facebook.com/pages/Komedi-burda-gel/775510675841486﻿,,,,,,,,,,,,
spam,https://www.facebook.com/profile.php?id=100007085325116﻿,,,,,,,,,,,,
ham,That's Good :)﻿,,,,,,,,,,,,
spam,http://www.googleadservices.com/pagead/aclk?sa=L&amp;ai=CSyOEB1wxVPCfL7D27AbGpYDgBJDPm6IH6MHu05wBgJXbv8sBEAEgkN7lJVCF7byH_f____8BYIOFgICAHKABsKG31wPIAQKpAh_KmC0hBpM-qAMByAPBBKoEkwFP0KullxqI1MG6o43HVzE-eFMqRG4Tu5LLBU_fsZ8gn0HBkJhBX-m83W1TS3_3Dx_HwPdX1Kazsj8o7SIEcVJjmBNsWyiJEcqvHXLbdzStUBOFaloYInWm0_rOOCppS2AuAT6zguICKm0lI83duwMAbzqvenE8TRfAzOrltBb037VzYv_XI4hBNQ2nvh19MrBgE0SIBgGgBgKAB7jeyCg&amp;num=1&amp;cid=5Ggs_m_9mA3TI40fS6mVPICS&amp;sig=AOD64_1OFC7Seh_1pOp-jYrbS7X6-heeNQ&amp;client=ca-pub-8252267209931889&amp;adurl=http://blog.2parale.ro/2014/10/challenge-pentru-afiliati-aplica-la-noile-programe-de-afiliere-si-fii-business-boomerul-lunii/&amp;nm=2&amp;mb=2&amp;bg=!A0QoUc7Q48v3_QIAAABpUgAAACsqAR0_VgOQWQxjmPUyvKoSf3K-q1BvKf9ZE4jhNC3ovckKxCbAFzZpAJiBXWBvVq4jrDgZ8q3rInlwgaBy_bXlfw7ma6dk0RJG14ZkRyizwqdi7HxgGE9tNDD9abflTFkBMbFfcJixNtHwbwkJ6N2onLH2D9EvEagPhoEwXOgBnu5ibgtRkgnAcQ1OIbgMzgAFNSc0lsaRiqj8HQR8T12dWv_7biY4k6I3y4yubloTdE_4XVKlnVeADZzF1L_xRYQkE6Wsur3EdLJWGk8fLq_QALdI-wAzNuysgqjNRDY6VucKLplZONyiSdKc9ebX-0dbHjZdW0LbsJBi40gXm0D0p5KRhv8XInQlI53__wQBaHS8zX4MJHw5vWrkPXFOeKs ﻿,,,,,,,,,,,,
ham,Awesome video this is one of my favorite  songs😀😀😀😀😀😀😀❤️❤️❤️❤️❤️❤️❤️❤️💎💎💎💎💎💄💄💄💄💋💋💋💋﻿,,,,,,,,,,,,
ham,If only I had the body like Katy Perry :)). She looks so hot. I love her  ^^!﻿,,,,,,,,,,,,
spam,DOWNLOAD RAPID FACEBOOK FOR FREE NOW https://play.google.com/store/apps/details?id=com.rapid.facebook.magicdroid﻿,,,,,,,,,,,,
ham,The song is very good ...but the video makes no sense...just a nonsense  video...I mean she is telling her story of being stuck on an island, but  the song doesn't fit in the situation...but nvm...The song is good﻿,,,,,,,,,,,
ham,Who else would give Katy perry a good old mighty roar? ;)﻿,,,,,,,,,,,,
ham,OMG I LOVE YOU KATY PARRY YOUR SONGS ROCK!!!!!!!!!!!!!!!!! THATS A TOTAL  SUBSCRIBE﻿,,,,,,,,,,,,
spam,https://www.paidverts.com/ref/tomuciux99 esyest money ever. join to our  team!!!!﻿,,,,,,,,,,,,
ham,Katy Perry - Roar (Official): http://youtu.be/CevxZvSJLk8﻿,,,,,,,,,,,,
spam,FREe ITunes Gift card http://shhort.com/a?r=x6J4gBrne﻿,,,,,,,,,,,,
spam,i was playing this song and the baby in my belly started to dance to  it.....sooooo cute, but had to take the song out cause of copy right and  add in a youtube made song....still sooo cute the baby danced to this song  LMFAO!!! https://plus.google.com/111982027348137311818/posts/g2JVinPueMo﻿,,,,,,,,,,,
ham,katy perry is awesome﻿,,,,,,,,,,,,
spam,this song is so addicting. the hook is dope and catchy. love the video too.  I'm getting popular fast because i rap real.. thumbs up if you piss next to  the water in the toilet so its quiet................................﻿,,,,,,,,,,,,
spam,Nice song .See my new track.﻿,,,,,,,,,,,,
ham,I love this sooooooooooooong I love katy perry﻿,,,,,,,,,,,,
ham,What does that tattoo on her right tricep say?﻿,,,,,,,,,,,,
ham,Since when has Katy Perry had her own YouTube channel?﻿,,,,,,,,,,,,
ham,Every time I watch this mv I just so so so glad that I live in a world that  don't have to worry about running from a real, human eating tiger.﻿,,,,,,,,,,,
spam,i rekt ur mum last nite. cuz da haterz were 2 much 4 meh lik dis if u cri evertim and sponswer mi robox vidz https://www.indiegogo.com/projects/gimme-dem-moneyz-4-roblox/x/8851222#home﻿,,,,,,,,,,,,
ham,"eye of the tiger ""i am the champion"" seems like katy perry is using  titles of old rock songs for lyrics..﻿",,,,,,,,,,,,
ham,She is a perfect wonder.....﻿,,,,,,,,,,,,
spam,https://www.indiegogo.com/projects/help-stop-my-poverty-cyber-pan-handleing/x/8692160#home ﻿,,,,,,,,,,,,
ham,she is horrible at acting. cringe-worhty.﻿,,,,,,,,,,,,
spam,I love katy fashions tiger, care to visit my blog sinar jahitan  I also have the tiger collections tqvm﻿,,,,,,,,,,,
